,term-or-expression,explicit-or-implicit,lemma,en-contextual-label,en-hate-label,label,pos,id,category,stereotype,level
0,term,explicit,rotten,0.0,0,,,,,,
1,term,explicit,fuckfest,1.0,0,,,,,,
2,term,explicit,asshole,0.0,0,,,,,,
3,expression,explicit,out on your ass,1.0,0,,,,,,
4,term,explicit,degenerate,1.0,0,,,,,,
5,term,explicit,slut,1.0,sexism,,,,,,
6,term,explicit,stupid,1.0,0,,,,,,
7,term,explicit,jerk,1.0,0,,,,,,
8,expression,explicit,son of a bitch,1.0,0,,,,,,
9,expression,explicit,motherfucker,1.0,0,,,,,,
10,term,explicit,loser,0.0,0,,,,,,
11,term,explicit,dumbass,0.0,0,,,,,,
12,term,explicit,fuck it,1.0,0,,,,,,
13,term,explicit,yuck,0.0,0,,,,,,
14,term,explicit,garbage,0.0,0,,,,,,
15,term,explicit,bastard,1.0,0,,,,,,
16,term,explicit,thug,1.0,0,,,,,,
17,term,explicit,scorn,0.0,0,,,,,,
18,term,explicit,cheater,1.0,0,,,,,,
19,term,explicit,damned ,1.0,0,,,,,,
20,term,explicit,0,1.0,partyism,,,,,,
21,term,explicit,arse,1.0,0,,,,,,
22,term,explicit,to drill,0.0,0,,,,,,
23,term,explicit,fuck,1.0,0,,,,,,
24,expression,explicit,fuck you,1.0,0,,,,,,
25,term,explicit,fool,1.0,0,,,,,,
26,term,explicit,militiamen,1.0,0,,,,,,
27,expression,explicit,parasite,0.0,0,,,,,,
28,expression,explicit,leech,0.0,0,,,,,,
29,expression,explicit,ass kissers (adj) / to kiss someone's ass (v),1.0,0,,,,,,
30,term,explicit,creature,0.0,0,,,,,,
31,term,explicit,plague,0.0,0,,,,,,
32,term,explicit,thief,1.0,0,,,,,,
33,term,explicit,manwhore,1.0,0,,,,,,
34,term,explicit,disgusting,1.0,0,,,,,,
35,term,explicit,worm,0.0,0,,,,,,
36,term,explicit,grunt,0.0,0,,,,,,
37,term,explicit,piece of shit ,1.0,0,,,,,,
38,term,explicit,dumbass / dumb / stupid,0.0,0,,,,,,
39,term,explicit,doom,0.0,0,,,,,,
40,term,explicit,damnit,0.0,0,,,,,,
41,term,explicit,disgrace,0.0,0,,,,,,
42,term,explicit,libtard,1.0,partyism,,,,,,
43,term,explicit,sleezy,1.0,0,,,,,,
44,expression,explicit,getting fucked in the ass,1.0,0,,,,,,
45,term,explicit,bogie,0.0,0,,,,,,
46,term,explicit,donkey,0.0,0,,,,,,
47,expression,explicit,fucking garbage,1.0,0,,,,,,
48,term,explicit,beast,0.0,0,,,,,,
49,term,explicit,crass,1.0,0,,,,,,
50,term,explicit,repulsive,1.0,0,,,,,,
51,term,explicit,reckless,0.0,0,,,,,,
52,term,explicit,whining,1.0,0,,,,,,
53,expression,explicit,backlash,0.0,0,,,,,,
54,expression,explicit,green with envy,1.0,0,,,,,,
55,expression,explicit,hard feelings,0.0,0,,,,,,
56,term,explicit,bitch,1.0,0,,,,,,
57,term,explicit,fanatic,0.0,0,,,,,,
58,expression,explicit,helluva,1.0,0,,,,,,
59,expression,explicit,suck it and see,1.0,0,,,,,,
60,expression,explicit,go to hell,1.0,0,,,,,,
61,term,explicit,to nose in (v) / nosey ,0.0,0,,,,,,
62,term,explicit,scumbag,1.0,0,,,,,,
63,expression,explicit,fucking annoying,1.0,0,,,,,,
64,expression,explicit,fucking off,1.0,0,,,,,,
65,expression,explicit,wimp,1.0,0,,,,,,
66,term,explicit,make a scene,0.0,0,,,,,,
67,term,explicit,shade,0.0,0,,,,,,
