term-or-expression,explicit-or-implicit,en-american-english,en-contextual-label,en-hate-label
term,explicit,rotten,0.0,0
term,explicit,fuckfest,1.0,0
term,explicit,asshole,0.0,0
expression,explicit,out on your ass,1.0,0
term,explicit,degenerate,1.0,0
term,explicit,slut,1.0,sexism
term,explicit,slut,1.0,sexism
term,explicit,stupid,1.0,0
term,explicit,stupid,1.0,0
term,explicit,jerk,1.0,0
expression,explicit,son of a bitch,1.0,0
expression,explicit,motherfucker,1.0,0
term,explicit,loser,0.0,0
term,explicit,dumbass,0.0,0
term,explicit,fuck it,1.0,0
term,explicit,fuck it,1.0,0
term,explicit,dumbass,0.0,0
term,explicit,yuck,0.0,0
term,explicit,garbage,0.0,0
term,explicit,bastard,1.0,0
term,explicit,thug,1.0,0
term,explicit,scorn,0.0,0
term,explicit,cheater,1.0,0
term,explicit,damned ,1.0,0
term,explicit,0,1.0,partyism
term,explicit,arse,1.0,0
term,explicit,to drill,0.0,0
term,explicit,fuck,1.0,0
term,explicit,fuck,1.0,0
expression,explicit,fuck you,1.0,0
term,explicit,fool,1.0,0
term,explicit,fool,1.0,0
term,explicit,militiamen,1.0,0
expression,explicit,parasite,0.0,0
expression,explicit,leech,0.0,0
expression,explicit,ass kissers (adj) / to kiss someone's ass (v),1.0,0
term,explicit,creature,0.0,0
term,explicit,plague,0.0,0
term,explicit,thief,1.0,0
term,explicit,thief,1.0,0
term,explicit,thief,1.0,0
term,explicit,manwhore,1.0,0
term,explicit,disgusting,1.0,0
term,explicit,disgusting,1.0,0
term,explicit,worm,0.0,0
term,explicit,loser,1.0,0
term,explicit,grunt,0.0,0
term,explicit,grunt,0.0,0
term,explicit,piece of shit ,1.0,0
term,explicit,dumbass / dumb / stupid,0.0,0
term,explicit,doom,0.0,0
term,explicit,damnit,0.0,0
term,explicit,disgrace,0.0,0
term,explicit,libtard,1.0,partyism
term,explicit,dumbass,0.0,0
term,explicit,dumbass,0.0,0
term,explicit,sleezy,1.0,0
term,explicit,0,1.0,partyism
term,explicit,0,1.0,partyism
term,explicit,0,1.0,partyism
expression,explicit,getting fucked in the ass,1.0,0
term,explicit,bogie,0.0,0
term,explicit,donkey,0.0,0
expression,explicit,fucking garbage,1.0,0
term,explicit,beast,0.0,0
term,explicit,crass,1.0,0
term,explicit,repulsive,1.0,0
term,explicit,reckless,0.0,0
term,explicit,reckless,0.0,0
term,explicit,whining,1.0,0
expression,explicit,backlash,0.0,0
expression,explicit,green with envy,1.0,0
expression,explicit,hard feelings,0.0,0
term,explicit,bitch,1.0,0
term,explicit,jerk,1.0,0
term,explicit,rotten,0.0,0
term,explicit,fanatic,0.0,0
term,explicit,fanatic,0.0,0
expression,explicit,helluva,1.0,0
expression,explicit,suck it and see,1.0,0
expression,explicit,go to hell,1.0,0
term,explicit,to nose in (v) / nosey ,0.0,0
term,explicit,scumbag,1.0,0
expression,explicit,fucking annoying,1.0,0
expression,explicit,fucking off,1.0,0
expression,explicit,wimp,1.0,0
term,explicit,make a scene,0.0,0
term,explicit,shade,0.0,0
term,explicit,mess,1.0,0
term,explicit,troublemakers,1.0,0
term,explicit,jerk,1.0,0
term,explicit,petty,1.0,0
term,explicit,petty,1.0,0
term,explicit,backstabber,0.0,0
term,explicit,backstabbers,0.0,0
term,explicit,dumb,1.0,0
expression,explicit,shut up,1.0,0
expression,explicit,shut up,1.0,0
expression,explicit,shut the hell up,1.0,0
expression,explicit,shut your mouth,1.0,0
term,explicit,spoiled,1.0,0
term,explicit,ass,1.0,0
term,explicit,libtard,1.0,partyism
term,explicit,loser / fool,1.0,0
term,explicit,shit,1.0,0
term,explicit,shit,1.0,0
term,explicit,fancy pants,0.0,0
term,explicit,get your head out of your ass,0.0,0
term,explicit,shameless,1.0,0
term,explicit,(white) trash,1.0,0
term,explicit,rude,1.0,0
term,explicit,rude,1.0,0
term,explicit,shade,1.0,0
term,explicit,beat it,0.0,0
term,explicit,beef,1.0,0
expression,explicit,0,1.0,0
expression,explicit,0,1.0,0
term,explicit,fuck,0.0,0
expression,explicit,worthless,0.0,0
expression,explicit,be green with envy,0.0,0
expression,explicit,yuck,1.0,0
term,explicit,garbage human,1.0,0
expression,explicit,piece of garbage,1.0,0
term,explicit,bigheaded,0.0,racism
expression,explicit,bitch,1.0,0
term,explicit,fuckery,1.0,0
expression,explicit,trash-talk,1.0,0
term,explicit,fascist,0.0,partyism
term,explicit,gang,0.0,0
term,explicit,Bolsonazi,1.0,partyism
term,explicit,jerk,1.0,0
term,explicit,scumbag,1.0,0
term,explicit,scumbag,1.0,0
expression,explicit,milico,0.0,0
term,explicit,bankrupt,0.0,0
term,explicit,repulsive,1.0,0
term,explicit,libtard,1.0,partyism
expression,explicit,burn the racist,1.0,0
term,explicit,parasite,0.0,0
expression,explicit,foul-mouthed,1.0,0
term,explicit,annoying,0.0,0
term,explicit,unbearable,1.0,0
expression,explicit,traitor ,1.0,0
expression,explicit,bandit,1.0,0
term,explicit,communist,0.0,partyism
term,explicit,shit,0.0,0
term,explicit,corrupt,1.0,0
term,explicit,iliterate,0.0,0
term,explicit,iliterate,0.0,0
expression,explicit,PT Gang,1.0,partyism
term,explicit,ridiculous,1.0,0
term,explicit,ridiculous,1.0,0
term,explicit,nasty,1.0,0
term,explicit,nastu,1.0,0
term,explicit,miserable,0.0,0
term,explicit,scumbag,0.0,0
term,explicit,scumbag,0.0,0
term,explicit,sleazy,1.0,sexism
term,explicit,sleazy,1.0,0
term,explicit,shameless,1.0,sexism
expression,explicit,hypocrite,1.0,0
term,explicit,hypocrite,1.0,0
expression,explicit,fucking scums,1.0,0
expression,explicit,yikes,0.0,0
term,explicit,shameful,0.0,0
term,explicit,shameful,0.0,0
term,explicit,brawler,1.0,0
term,explicit,dismal,0.0,0
term,explicit,non-sense,1.0,0
term,explicit,thug,0.0,0
term,explicit,misfit,0.0,0
expression,explicit,immoral,1.0,0
term,explicit,miserable,0.0,0
term,explicit,sneaky,1.0,0
term,explicit,potty,0.0,0
term,explicit,madman,1.0,0
term,explicit,madwoman,1.0,0
term,explicit,devil,1.0,0
expression,explicit,worm,1.0,0
expression,explicit,liberals,1.0,partyism
term,explicit,psycho / psychopath,0.0,0
term,explicit,drunk,0.0,0
term,explicit,dumbass,0.0,0
term,explicit,dumbass,0.0,0
term,explicit,moron,1.0,0
term,explicit,0,1.0,partyism
term,explicit,fibber,1.0,0
term,explicit,gang,0.0,0
term,explicit,raggedy,0.0,0
term,explicit,raggedy,0.0,0
